2025-09-16 18:40:01 [Logger/constructor] [info]: Logger initialized successfully at .\core_logger\core_logger.log
[2025-09-16 18:40:01] [IthacaPluginProcessor/constructor] [info]: === ITHACA PLUGIN STARTING ===
[2025-09-16 18:40:01] [IthacaPluginProcessor/constructor] [info]: Plugin initialized
[2025-09-16 18:40:01] [IthacaPluginProcessor/constructor] [info]: Default sample directory: C:\Users\jindr\AppData\Roaming\IthacaPlayer\instrument
[2025-09-16 18:40:06] [IthacaPluginProcessor/setStateInformation] [info]: Plugin state loaded
[2025-09-16 18:40:06] [IthacaPluginProcessor/prepareToPlay] [info]: === PREPARING AUDIO PROCESSING ===
[2025-09-16 18:40:06] [IthacaPluginProcessor/prepareToPlay] [info]: Sample rate: 48000.000000 Hz
[2025-09-16 18:40:06] [IthacaPluginProcessor/prepareToPlay] [info]: Buffer size: 480 samples
[2025-09-16 18:40:06] [IthacaPluginProcessor/initializeSampler] [info]: Initializing IthacaCore sampler...
[2025-09-16 18:40:06] [EnvelopeStaticData/initialize] [info]: Starting global envelope generation for all sample rates
[2025-09-16 18:40:06] [EnvelopeStaticData/generateEnvelopeForSampleRate] [info]: Generating envelopes for 44100 Hz
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: attack (44100 Hz) end: [0.989997, 0.989998, 0.989999, 0.990000]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: release (44100 Hz) MIDI[13] begin: [1.000000, 0.999908, 0.999815, 0.999723]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: release (44100 Hz) half: [0.100018, 0.100009, 0.100000, 0.099991]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: release (44100 Hz) end: [0.010003, 0.010002, 0.010001, 0.010000]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: attack (44100 Hz) MIDI[14] begin: [0.000000, 0.000086, 0.000171, 0.000257]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: attack (44100 Hz) half: [0.899983, 0.899991, 0.900000, 0.900009]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: attack (44100 Hz) end: [0.989997, 0.989998, 0.989999, 0.990000]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: release (44100 Hz) MIDI[14] begin: [1.000000, 0.999914, 0.999829, 0.999743]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: release (44100 Hz) half: [0.100017, 0.100009, 0.100000, 0.099991]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: release (44100 Hz) end: [0.010003, 0.010002, 0.010001, 0.010000]
